n,epsilon,dd,hh,Qsc_MACRS,inv_C_start,inv_C_end,invC_sum,FOMS,FOMS_norm_n,FOMS_norm_ne,logQ,logInvC,logFOMS,logFOMS_norm_n,logFOMS_norm_ne
2,1,6.2500000000e-02,7.8125000000e-03,3.1444900000e-09,3.7529182696e+10,3.5277200000e+11,3.9030118270e+11,4.1032356000e-02,2.0516178000e-02,2.0516178000e-02,-1.7004899564e+01,1.1591399867e+01,-1.3868735460e+00,-1.6879035416e+00,-1.6879035416e+00
2,1,6.2500000000e-02,1.5625000000e-02,3.0280300000e-09,7.2497691645e+10,4.2313700000e+11,4.9563469164e+11,4.8317778000e-02,2.4158889000e-02,2.4158889000e-02,-1.7037679653e+01,1.1695161697e+01,-1.3158930459e+00,-1.6169230416e+00,-1.6169230416e+00
2,1,6.2500000000e-02,3.1250000000e-02,2.8291400000e-09,1.3696600000e+11,4.9480500000e+11,6.3177100000e+11,5.3764364000e-02,2.6882182000e-02,2.6882182000e-02,-1.7096691122e+01,1.1800559687e+01,-1.2695054873e+00,-1.5705354829e+00,-1.5705354829e+00
2,1,6.2500000000e-02,6.2500000000e-02,2.5213200000e-09,2.5009500000e+11,5.8849500000e+11,8.3859000000e+11,5.6680208000e-02,2.8340104000e-02,2.8340104000e-02,-1.7196744062e+01,1.1923549679e+01,-1.2465685647e+00,-1.5475985604e+00,-1.5475985604e+00
2,1,6.2500000000e-02,1.2500000000e-01,2.0902800000e-09,4.3434300000e+11,7.1464200000e+11,1.1489850000e+12,5.3376170000e-02,2.6688085000e-02,2.6688085000e-02,-1.7359591070e+01,1.2060314359e+01,-1.2726525922e+00,-1.5736825878e+00,-1.5736825878e+00
2,1,6.2500000000e-02,2.5000000000e-01,1.5643000000e-09,7.0614400000e+11,8.9092300000e+11,1.5970670000e+12,4.1551539000e-02,2.0775769500e-02,2.0775769500e-02,-1.7611359909e+01,1.2203323136e+01,-1.3814128860e+00,-1.6824428817e+00,-1.6824428817e+00
2,1,6.2500000000e-02,5.0000000000e-01,1.0531200000e-09,1.0554300000e+12,1.1384700000e+12,2.1939000000e+12,2.5870011000e-02,1.2935005500e-02,1.2935005500e-02,-1.7955044279e+01,1.2341216828e+01,-1.5872033866e+00,-1.8882333823e+00,-1.8882333823e+00
2,1,6.2500000000e-02,1.0000000000e+00,6.7465300000e-10,1.4352400000e+12,1.4553500000e+12,2.8905900000e+12,1.3988583000e-02,6.9942915000e-03,6.9942915000e-03,-1.8341839088e+01,1.2460986496e+01,-1.8542262760e+00,-2.1552562716e+00,-2.1552562716e+00
2,1,1.2500000000e-01,3.9062500000e-03,3.0280500000e-09,2.0272910184e+10,2.8629500000e+11,3.0656791018e+11,2.9886669000e-02,1.4943334500e-02,1.4943334500e-02,-1.7037673916e+01,1.1486526693e+01,-1.5245224863e+00,-1.8255524819e+00,-1.8255524819e+00
2,1,1.2500000000e-01,7.8125000000e-03,2.9622000000e-09,3.9684024994e+10,3.5764700000e+11,3.9733102499e+11,3.7068805000e-02,1.8534402500e-02,1.8534402500e-02,-1.7056771245e+01,1.1599152478e+01,-1.4309914142e+00,-1.7320214099e+00,-1.7320214099e+00
