n,A,E,dd,d,hh,h,V
2,0.0,10,1.0,0.000234,0.015625,0.000234,-240.7998476
2,0.0,10,1.0,0.000469,0.03125,0.000469,-452.1631043
2,0.0,10,1.0,0.000938,0.0625,0.000938,-815.7642979
2,0.0,10,1.0,0.001875,0.125,0.001875,-1384.456002
2,0.0,10,1.0,0.00375,0.25,0.00375,-2160.203191
2,0.0,10,1.0,0.0075,0.5,0.0075,-3025.616777
2,0.0,10,1.0,0.015,1.0,0.015,-3751.217484
2,0.25,1,0.03125,1.83e-06,0.00390625,5.86e-05,14.44809344
2,0.25,1,0.03125,3.66e-06,0.0078125,0.000117,28.32463923
2,0.25,1,0.03125,7.32e-06,0.015625,0.000234,54.71658591
2,0.25,1,0.03125,1.46e-05,0.03125,0.000469,103.4132669
2,0.25,1,0.03125,2.93e-05,0.0625,0.000938,188.8296351
2,0.25,1,0.03125,5.86e-05,0.125,0.001875,327.3005174
2,0.25,1,0.03125,0.000117,0.25,0.00375,529.0627212
2,0.25,1,0.03125,0.000234,0.5,0.0075,779.189
2,0.25,1,0.03125,0.000469,1.0,0.015,1019.8956
2,0.25,1,0.0625,3.66e-06,0.00390625,5.86e-05,12.93721685
2,0.25,1,0.0625,7.32e-06,0.0078125,0.000117,25.34025908
2,0.25,1,0.0625,1.46e-05,0.015625,0.000234,48.93557296
2,0.25,1,0.0625,2.93e-05,0.03125,0.000469,92.29152875
2,0.25,1,0.0625,5.86e-05,0.0625,0.000938,167.9875899
2,0.25,1,0.0625,0.000117,0.125,0.001875,289.4399607
2,0.25,1,0.0625,0.000234,0.25,0.00375,462.0063746
2,0.25,1,0.0625,0.000469,0.5,0.0075,664.2664698
2,0.25,1,0.0625,0.000938,1.0,0.015,829.2128368
2,0.25,1,0.125,7.32e-06,0.00390625,5.86e-05,9.941156813
2,0.25,1,0.125,1.46e-05,0.0078125,0.000117,19.45682738
2,0.25,1,0.125,2.93e-05,0.015625,0.000234,37.42258821
2,0.25,1,0.125,5.86e-05,0.03125,0.000469,70.3482362
2,0.25,1,0.125,0.000117,0.0625,0.000938,127.0937471
2,0.25,1,0.125,0.000234,0.125,0.001875,215.773816
2,0.25,1,0.125,0.000469,0.25,0.00375,334.8353093
2,0.25,1,0.125,0.000938,0.5,0.0075,455.3129752
2,0.25,1,0.125,0.001875,1.0,0.015,501.8241269
2,0.25,1,0.25,1.46e-05,0.00390625,5.86e-05,3.956249208
2,0.25,1,0.25,2.93e-05,0.0078125,0.000117,7.726596005
2,0.25,1,0.25,5.86e-05,0.015625,0.000234,14.75982819
2,0.25,1,0.25,0.000117,0.03125,0.000469,27.37318052
2,0.25,1,0.25,0.000234,0.0625,0.000938,48.04819978
2,0.25,1,0.25,0.000469,0.125,0.001875,76.79417256
2,0.25,1,0.25,0.000938,0.25,0.00375,104.0028699
2,0.25,1,0.25,0.001875,0.5,0.0075,96.71712983
2,0.25,1,0.25,0.00375,1.0,0.015,-12.16046272
2,0.25,1,0.5,2.93e-05,0.00390625,5.86e-05,-7.917454866
2,0.25,1,0.5,5.86e-05,0.0078125,0.000117,-15.42860243
2,0.25,1,0.5,0.000117,0.015625,0.000234,-29.58289661
2,0.25,1,0.5,0.000234,0.03125,0.000469,-55.51801603
2,0.25,1,0.5,0.000469,0.0625,0.000938,-100.464939
2,0.25,1,0.5,0.000938,0.125,0.001875,-174.4971469
2,0.25,1,0.5,0.001875,0.25,0.00375,-290.7338725
2,0.25,1,0.5,0.00375,0.5,0.0075,-466.381366
