A,E,dd,hh,n,d (m),h1 (m),es.V0_1-es.V0_2 (V)
0.75,1,0.125,0.25,64,4.6875E-4,0.00375,1059.8482994593633
0.75,1,0.125,0.5,64,9.375E-4,0.0075,1675.9862204842839
0.75,1,0.125,1,64,0.001875,0.015,2367.50348469692
0.75,1,0.25,0.00390625,64,1.46484375E-5,5.859375E-5,10.358112145189027
0.75,1,0.25,0.0078125,64,2.9296875E-5,1.171875E-4,33.53024923506378
0.75,1,0.25,0.015625,64,5.859375E-5,2.34375E-4,79.96730127687968
0.75,1,0.25,0.03125,64,1.171875E-4,4.6875E-4,167.121922831919
0.75,1,0.25,0.0625,64,2.34375E-4,9.375E-4,321.4284739922683
0.75,1,0.25,0.125,64,4.6875E-4,0.001875,581.3276233251793
0.75,1,0.25,0.25,64,9.375E-4,0.00375,983.8858706688143
0.75,1,0.25,0.5,64,0.001875,0.0075,1524.820301993911
0.75,1,0.25,1,64,0.00375,0.015,2094.632251288208
0.75,1,0.5,0.00390625,64,2.9296875E-5,5.859375E-5,8.833706212938756
0.75,1,0.5,0.0078125,64,5.859375E-5,1.171875E-4,31.149224529866625
0.75,1,0.5,0.015625,64,1.171875E-4,2.34375E-4,75.19929152046242
0.75,1,0.5,0.03125,64,2.34375E-4,4.6875E-4,154.76016255599876
